,brand,model,year,fuel_type,transmission,body_type,engine_capacity,count
1337,Lada,2107,2009.0,Benzine,Manual,Sedan,1600.0,1
1325,Lada,2105,1994.0,Benzine,Manual,Other,1300.0,1
1318,Kia,Sportage Hybrid,2024.0,Benzine,Automatic,SUV,1600.0,1
1319,Kia,Xceed,2023.0,Benzine,Automatic,Hatchback,1500.0,1
1320,Kia,Xceed,2024.0,Benzine,Automatic,Hatchback,1500.0,1
1322,Lada,1500,1982.0,Benzine,Manual,Sedan,1500.0,1
1323,Lada,1500,1993.0,Benzine,Manual,Hatchback,1500.0,1
1324,Lada,2104,1988.0,Benzine,Manual,MPV,1200.0,1
1327,Lada,2105,1994.0,Benzine,Manual,Sedan,1500.0,1
1336,Lada,2107,2008.0,Benzine,Manual,Sedan,1600.0,1
1330,Lada,2106,1982.0,Benzine,Manual,Sedan,1300.0,1
1331,Lada,2107,1990.0,Benzine,Manual,Sedan,1500.0,1
1332,Lada,2107,1994.0,Benzine,Manual,Other,1500.0,1
1333,Lada,2107,1998.0,Benzine,Manual,Sedan,1500.0,1
1334,Lada,2107,2003.0,Natural Gas,Manual,Sedan,1600.0,1
1335,Lada,2107,2006.0,Benzine,Manual,Sedan,1690.0,1
1357,Lada,Samara,1997.0,Benzine,Manual,Hatchback,1300.0,1
1359,Lamborghini,Urus,2025.0,Benzine,Automatic,SUV,3996.0,1
1406,MG,HS,2025.0,Benzine,Automatic,Estate,1500.0,1
1360,Lancia,Dedra,1993.0,Benzine,Manual,Sedan,1600.0,1
1384,Land Rover,Range Rover Sport SVR,2020.0,Benzine,Automatic,4X4,5000.0,1
1385,Land Rover,Range Rover Vogue,2019.0,Benzine,Automatic,4X4,5000.0,1
1386,Land Rover,Range Rover Vogue,2019.0,Benzine,Automatic,SUV,3000.0,1
1387,Land Rover,Range Rover Vogue,2020.0,Benzine,Automatic,SUV,5000.0,1
1388,Land Rover,Range Rover Vogue,2023.0,Benzine,Automatic,SUV,3000.0,1
1391,Land Rover,Range Rover Vogue,2025.0,Benzine,Automatic,SUV,3000.0,1
1392,Land Rover,Velar,2020.0,Benzine,Automatic,SUV,2000.0,1
1393,Land Rover,Velar,2022.0,Benzine,Automatic,4X4,2000.0,1
1394,Land Rover,Velar,2023.0,Benzine,Automatic,SUV,2000.0,1
1395,Land Rover,Velar,2024.0,Benzine,Automatic,SUV,200.0,1
1398,Lexus,LX,2017.0,Benzine,Automatic,SUV,5700.0,1
1399,Lincoln,MKX,2008.0,Benzine,Automatic,SUV,4000.0,1
1400,Lotus,Emira,2024.0,Benzine,Automatic,Sports / Coupe,3500.0,1
1403,MG,HS,2022.0,Benzine,Automatic,Hatchback,160.0,1
1405,MG,HS,2023.0,Benzine,Automatic,SUV,1500.0,1
1383,Land Rover,Range Rover Sport,2025.0,Benzine,Automatic,SUV,4400.0,1
1381,Land Rover,Range Rover Sport,2022.0,Hybrid,Automatic,SUV,2000.0,1
1380,Land Rover,Range Rover Sport,2022.0,Benzine,Automatic,SUV,5000.0,1
1369,Land Rover,Range Rover SVR,2026.0,Benzine,Automatic,4X4,4400.0,1
1361,Land Rover,Evoque,2022.0,Benzine,Automatic,SUV,1997.0,1
1362,Land Rover,Evoque,2024.0,Benzine,Automatic,SUV,1500.0,1
1365,Land Rover,Range Rover,2013.0,Benzine,Automatic,SUV,2000.0,1
1366,Land Rover,Range Rover Evoque,2020.0,Benzine,Automatic,SUV,2000.0,1
1367,Land Rover,Range Rover Evoque,2023.0,Benzine,Automatic,SUV,2000.0,1
1368,Land Rover,Range Rover Evoque,2024.0,Benzine,Automatic,SUV,2000.0,1
1370,Land Rover,Range Rover Sport,2008.0,Benzine,Automatic,4X4,4200.0,1
1378,Land Rover,Range Rover Sport,2020.0,Benzine,Automatic,SUV,5000.0,1
1371,Land Rover,Range Rover Sport,2014.0,Benzine,Automatic,SUV,3000.0,1
1372,Land Rover,Range Rover Sport,2016.0,Benzine,Automatic,4X4,3000.0,1
1374,Land Rover,Range Rover Sport,2019.0,Benzine,Automatic,SUV,2000.0,1
1375,Land Rover,Range Rover Sport,2019.0,Benzine,Automatic,SUV,3000.0,1
1376,Land Rover,Range Rover Sport,2020.0,Benzine,Automatic,SUV,2000.0,1
1377,Land Rover,Range Rover Sport,2020.0,Benzine,Automatic,SUV,3000.0,1
1132,Jeep,Grand Cherokee,2010.0,Benzine,Automatic,Hatchback,3700.0,1
1130,Jeep,Cherokee,2013.0,Benzine,Automatic,4X4,3700.0,1
751,Fiat,Shahin,2005.0,Benzine,Manual,Sedan,1600.0,1
885,Honda,Accord,2020.0,Benzine,Automatic,Sedan,1600.0,1
866,Geely,Pandido,2014.0,Benzine,Automatic,Estate,100.0,1
867,Geely,Pandido,2014.0,Benzine,Automatic,Hatchback,1500.0,1
868,Geely,Pandido,2014.0,Benzine,Manual,Hatchback,1300.0,1
869,Geely,Pandido,2014.0,Benzine,Manual,Hatchback,1400.0,1
870,Great Wall,C30,2014.0,Benzine,Automatic,Sedan,1500.0,1
871,Great Wall,C30,2014.0,Natural Gas,Automatic,Sedan,1497.0,1
872,Great Wall,Peri,2008.0,Benzine,Manual,Hatchback,1400.0,1
873,Great Wall,Peri,2009.0,Benzine,Manual,Hatchback,1400.0,1
874,Haima,S5,2018.0,Benzine,Automatic,SUV,1500.0,1
876,Haval,H6,2024.0,Benzine,Automatic,SUV,1500.0,1
878,Haval,H6,2026.0,Benzine,Automatic,SUV,1600.0,1
879,Haval,H7,2026.0,Benzine,Automatic,SUV,1500.0,1
880,Haval,Jolion,2025.0,Benzine,Automatic,SUV,1500.0,1
881,Honda,Accord,1980.0,Benzine,Automatic,Sedan,1600.0,1
882,Honda,Accord,1991.0,Benzine,Automatic,Sedan,2000.0,1
865,Geely,Pandido,2012.0,Benzine,Automatic,Hatchback,1300.0,1
864,Geely,Okavango,2022.0,Hybrid,Automatic,SUV,1500.0,1
863,Geely,MK,2008.0,Benzine,Automatic,Sedan,1500.0,1
853,Geely,Emgrand 7,2017.0,Benzine,Manual,Sedan,1500.0,1
845,Geely,Emgrand 7,2014.0,Benzine,Manual,Sedan,1599.0,1
846,Geely,Emgrand 7,2014.0,Benzine,Manual,Sedan,1600.0,1
847,Geely,Emgrand 7,2014.0,Natural Gas,Manual,Sedan,1500.0,1
848,Geely,Emgrand 7,2015.0,Benzine,Automatic,Sedan,1600.0,1
851,Geely,Emgrand 7,2015.0,Natural Gas,Manual,Sedan,1500.0,1
852,Geely,Emgrand 7,2015.0,Natural Gas,Manual,Sedan,1600.0,1
854,Geely,Emgrand 7,2017.0,Benzine,Manual,Sedan,1600.0,1
862,Geely,GX3 Pro,2025.0,Benzine,Automatic,SUV,1500.0,1
855,Geely,Emgrand 7,2017.0,Natural Gas,Manual,Sedan,1500.0,1
856,Geely,Emgrand 7,2018.0,Benzine,Manual,Sedan,1500.0,1
857,Geely,Emgrand X7,2018.0,Benzine,Automatic,SUV,1500.0,1
858,Geely,Emgrand X7,2019.0,Benzine,Automatic,SUV,1299.0,1
859,Geely,Emgrand X7,2019.0,Benzine,Automatic,SUV,1300.0,1
861,Geely,Emgrand X7,2020.0,Benzine,Automatic,Estate,1500.0,1
883,Honda,Accord,1994.0,Benzine,Automatic,Sedan,2000.0,1
886,Honda,CR-V,2020.0,Benzine,Automatic,SUV,1500.0,1
842,Geely,Emgrand 7,2013.0,Benzine,Manual,4X4,1400.0,1
887,Honda,CR-V,2022.0,Benzine,Automatic,Hatchback,1500.0,1
907,Honda,Civic,2008.0,Benzine,Automatic,Other,1600.0,1
910,Honda,Civic,2009.0,Benzine,Automatic,Sedan,1800.0,1
911,Honda,Civic,2010.0,Benzine,Automatic,Sedan,1600.0,1
913,Honda,Civic,2019.0,Benzine,Automatic,Sedan,1600.0,1
915,Honda,Civic,2021.0,Benzine,Automatic,Sedan,1499.0,1
916,Honda,HR-V,2004.0,Benzine,Automatic,4X4,1600.0,1
917,Hummer,H1,1997.0,Diesel,Automatic,SUV,5700.0,1
918,Hummer,H1,2024.0,Electric,Automatic,4X4,100.0,1
919,Hyundai,Accent,1996.0,Benzine,Automatic,Sedan,1600.0,1
920,Hyundai,Accent,1997.0,Benzine,Manual,Sedan,1500.0,1
921,Hyundai,Accent,1998.0,Benzine,Manual,Sedan,1300.0,1
924,Hyundai,Accent,2000.0,Benzine,Automatic,Sedan,1300.0,1
927,Hyundai,Accent,2000.0,Natural Gas,Manual,Sedan,1300.0,1
928,Hyundai,Accent,2001.0,Benzine,Manual,Sedan,1300.0,1
930,Hyundai,Accent,2003.0,Benzine,Manual,Sedan,1300.0,1
906,Honda,Civic,1998.0,Benzine,Manual,Sedan,1400.0,1
905,Honda,Civic,1996.0,Benzine,Automatic,Sedan,1600.0,1
904,Honda,Civic,1995.0,Benzine,Automatic,Sedan,1600.0,1
894,Honda,City,2013.0,Benzine,Automatic,Sedan,1300.0,1
888,Honda,CR-V,2024.0,Benzine,Automatic,SUV,1500.0,1
889,Honda,CR-V,2025.0,Benzine,Automatic,4X4,1500.0,1
890,Honda,CR-V,2025.0,Benzine,Automatic,SUV,1500.0,1
891,Honda,CR-V,2026.0,Benzine,Automatic,SUV,1500.0,1
892,Honda,City,2004.0,Benzine,Automatic,Sedan,1600.0,1
893,Honda,City,2005.0,Benzine,Automatic,Sedan,1300.0,1
895,Honda,City,2013.0,Benzine,Automatic,Sedan,1600.0,1
903,Honda,Civic,1993.0,Benzine,Automatic,Sedan,1600.0,1
896,Honda,City,2016.0,Benzine,Automatic,Sedan,1500.0,1
897,Honda,Civic,1900.0,Benzine,Automatic,Sedan,1500.0,1
898,Honda,Civic,1979.0,Benzine,Automatic,Hatchback,1500.0,1
899,Honda,Civic,1989.0,Benzine,Manual,Sedan,1500.0,1
900,Honda,Civic,1989.0,Diesel,Manual,Sedan,1600.0,1
901,Honda,Civic,1990.0,Benzine,Manual,Sedan,1600.0,1
843,Geely,Emgrand 7,2014.0,Benzine,Manual,Sedan,1499.0,1
840,Geely,Emgrand,2019.0,Benzine,Automatic,Sedan,1500.0,1
932,Hyundai,Accent,2005.0,Benzine,Manual,Sedan,1300.0,1
798,Ford,Fiesta,1998.0,Benzine,Manual,Hatchback,1300.0,1
778,Fiat,Uno,1984.0,Diesel,Manual,Hatchback,900.0,1
779,Fiat,Uno,1986.0,Benzine,Manual,Hatchback,1100.0,1
780,Fiat,Uno,1986.0,Benzine,Manual,Hatchback,1400.0,1
781,Fiat,Uno,1988.0,Benzine,Manual,Hatchback,1000.0,1
783,Fiat,Uno,1993.0,Benzine,Manual,Hatchback,1300.0,1
784,Fiat,Uno,1994.0,Benzine,Manual,Hatchback,1000.0,1
785,Fiat,Uno,1995.0,Benzine,Manual,Hatchback,1000.0,1
786,Fiat,Uno,1997.0,Benzine,Manual,Hatchback,1000.0,1
787,Fiat,Uno,1998.0,Benzine,Manual,Hatchback,1000.0,1
788,Fiat,Uno,2007.0,Benzine,Manual,Hatchback,1300.0,1
789,Ford,B-Max,2015.0,Benzine,Automatic,SUV,1600.0,1
790,Ford,Bronco Raptor,2024.0,Benzine,Automatic,4X4,3000.0,1
794,Ford,Escort,1999.0,Benzine,Manual,Sedan,1300.0,1
795,Ford,Explorer,1997.0,Benzine,Automatic,4X4,3600.0,1
796,Ford,Explorer,2017.0,Benzine,Automatic,SUV,2000.0,1
776,Fiat,Tipo,2021.0,Diesel,Manual,Sedan,1400.0,1
775,Fiat,Tipo,2021.0,Benzine,Manual,Sedan,1400.0,1
773,Fiat,Tipo,2020.0,Hybrid,Automatic,Hatchback,1600.0,1
760,Fiat,Siena,2002.0,Benzine,Manual,Sedan,1600.0,1
752,Fiat,Shahin,2005.0,Natural Gas,Manual,Sedan,1400.0,1
753,Fiat,Shahin,2006.0,Benzine,Manual,Sedan,1400.0,1
754,Fiat,Shahin,2007.0,Benzine,Manual,Sedan,1400.0,1
755,Fiat,Shahin,2008.0,Benzine,Manual,Sedan,1400.0,1
756,Fiat,Shahin,2009.0,Benzine,Manual,Sedan,1400.0,1
758,Fiat,Siena,2001.0,Benzine,Manual,Sedan,1400.0,1
761,Fiat,Siena,2002.0,Diesel,Manual,Sedan,1400.0,1
772,Fiat,Tipo,2020.0,Benzine,Manual,Sedan,1400.0,1
762,Fiat,Siena,2003.0,Benzine,Manual,Sedan,1400.0,1
763,Fiat,Siena,2004.0,Benzine,Manual,Sedan,1400.0,1
764,Fiat,Tempra,1990.0,Benzine,Manual,Sedan,1400.0,1
765,Fiat,Tempra,1990.0,Benzine,Manual,Sedan,1600.0,1
766,Fiat,Tempra,1991.0,Benzine,Manual,Hatchback,1600.0,1
767,Fiat,Tempra,1991.0,Benzine,Manual,Sedan,1600.0,1
797,Ford,Fiesta,1997.0,Benzine,Manual,Hatchback,1300.0,1
799,Ford,Fiesta,2000.0,Benzine,Manual,Hatchback,1250.0,1
839,Geely,Coolray,2022.0,Benzine,Automatic,SUV,1600.0,1
801,Ford,Fiesta,2006.0,Benzine,Automatic,Small city car,1300.0,1
821,Ford,Fusion,2021.0,Benzine,Automatic,Sedan,2000.0,1
823,Ford,Mustang,2024.0,Benzine,Automatic,Sports / Coupe,2300.0,1
824,Forthing,T5 EVO,2026.0,Electric,Automatic,SUV,1500.0,1
825,GAC,EMKOO,2025.0,Benzine,Automatic,SUV,1500.0,1
827,GAC,EMZOOM,2026.0,Benzine,Automatic,Hatchback,1500.0,1
829,GAC,GS4,2026.0,Benzine,Automatic,SUV,1500.0,1
830,GMC,Sierra,2021.0,Benzine,Automatic,Pickup,5300.0,1
831,GMC,Terrain,2023.0,Benzine,Automatic,SUV,1500.0,1
832,GMC,Terrain,2025.0,Benzine,Automatic,SUV,1500.0,1
833,GMC,Terrain,2026.0,Benzine,Automatic,SUV,1600.0,1
834,GMC,Yukon,2024.0,Benzine,Automatic,MPV,6200.0,1
835,Geely,Ck,2008.0,Benzine,Manual,Sedan,1600.0,1
836,Geely,Ck2,2009.0,Benzine,Manual,Sedan,1500.0,1
837,Geely,Ck2,2010.0,Benzine,Automatic,Sedan,1600.0,1
838,Geely,Coolray,2022.0,Benzine,Automatic,Hatchback,1500.0,1
820,Ford,Focus,2022.0,Benzine,Automatic,Sedan,1500.0,1
819,Ford,Focus,2021.0,Benzine,Automatic,Hatchback,1600.0,1
818,Ford,Focus,2018.0,Benzine,Automatic,Sedan,998.0,1
809,Ford,Focus,2010.0,Benzine,Automatic,Estate,1600.0,1
802,Ford,Focus,2002.0,Benzine,Manual,Sedan,1800.0,1
803,Ford,Focus,2003.0,Benzine,Manual,Sedan,1600.0,1
804,Ford,Focus,2003.0,Benzine,Manual,Sedan,1800.0,1
806,Ford,Focus,2007.0,Benzine,Automatic,Sedan,1600.0,1
807,Ford,Focus,2008.0,Benzine,Automatic,Sedan,1400.0,1
808,Ford,Focus,2009.0,Benzine,Automatic,Sedan,1600.0,1
810,Ford,Focus,2012.0,Benzine,Automatic,Hatchback,1600.0,1
817,Ford,Focus,2018.0,Benzine,Automatic,Hatchback,1000.0,1
811,Ford,Focus,2013.0,Benzine,Automatic,Sedan,1600.0,1
812,Ford,Focus,2014.0,Benzine,Automatic,Sedan,1400.0,1
813,Ford,Focus,2014.0,Benzine,Automatic,Sedan,1600.0,1
814,Ford,Focus,2015.0,Benzine,Automatic,Sedan,1500.0,1
815,Ford,Focus,2016.0,Benzine,Automatic,Sedan,1000.0,1
816,Ford,Focus,2017.0,Benzine,Automatic,Sedan,1600.0,1
931,Hyundai,Accent,2005.0,Benzine,Automatic,Sedan,1600.0,1
933,Hyundai,Accent,2005.0,Benzine,Manual,Sedan,1500.0,1
1129,Jeep,Cherokee,2012.0,Benzine,Automatic,4X4,3700.0,1
1088,Hyundai,Verna,2014.0,Benzine,Automatic,Sedan,1600.0,1
1064,Hyundai,Veloster,2015.0,Benzine,Automatic,Hatchback,1500.0,1
1065,Hyundai,Verna,2004.0,Benzine,Automatic,Sedan,100.0,1
1067,Hyundai,Verna,2004.0,Natural Gas,Manual,Sedan,1600.0,1
1068,Hyundai,Verna,2007.0,Benzine,Automatic,Sedan,1600.0,1
1069,Hyundai,Verna,2007.0,Benzine,Manual,Other,1600.0,1
1071,Hyundai,Verna,2007.0,Diesel,Manual,Sedan,1600.0,1
1072,Hyundai,Verna,2008.0,Benzine,Automatic,Sedan,1600.0,1
1075,Hyundai,Verna,2009.0,Natural Gas,Manual,Sedan,1600.0,1
1077,Hyundai,Verna,2010.0,Benzine,Manual,Sedan,1500.0,1
1078,Hyundai,Verna,2010.0,Benzine,Manual,Sedan,1599.0,1
1080,Hyundai,Verna,2010.0,Diesel,Manual,Sedan,1600.0,1
1081,Hyundai,Verna,2011.0,Benzine,Automatic,Sedan,1600.0,1
1082,Hyundai,Verna,2011.0,Benzine,Manual,Sedan,1300.0,1
1083,Hyundai,Verna,2011.0,Benzine,Manual,Sedan,1600.0,1
1085,Hyundai,Verna,2013.0,Benzine,Automatic,Sedan,1600.0,1
1063,Hyundai,Veloster,2013.0,Benzine,Automatic,Hatchback,1600.0,1
1062,Hyundai,Veloster,2012.0,Benzine,Automatic,Hatchback,1600.0,1
1059,Hyundai,Tucson,2025.0,Benzine,Automatic,Estate,1600.0,1
1045,Hyundai,Tucson,2018.0,Benzine,Automatic,SUV,1600.0,1
1039,Hyundai,Santamo,2001.0,Benzine,Automatic,Estate,1600.0,1
1040,Hyundai,Solaris,2016.0,Benzine,Automatic,Sedan,1600.0,1
1041,Hyundai,Solaris,2017.0,Benzine,Automatic,Sedan,1600.0,1
1042,Hyundai,Sonata,1994.0,Benzine,Manual,Sedan,1800.0,1
1043,Hyundai,Sonata,2020.0,Benzine,Automatic,Sedan,1600.0,1
1044,Hyundai,Tucson,2017.0,Benzine,Automatic,SUV,1600.0,1
1046,Hyundai,Tucson,2019.0,Benzine,Automatic,Hatchback,1600.0,1
1058,Hyundai,Tucson,2024.0,Benzine,Automatic,SUV,1600.0,1
1050,Hyundai,Tucson,2021.0,Benzine,Automatic,Estate,1600.0,1
1051,Hyundai,Tucson,2021.0,Benzine,Automatic,Hatchback,1600.0,1
1053,Hyundai,Tucson,2022.0,Benzine,Automatic,Hatchback,1600.0,1
1055,Hyundai,Tucson,2022.0,Hybrid,Automatic,SUV,1600.0,1
1056,Hyundai,Tucson,2023.0,Benzine,Automatic,Hatchback,1600.0,1
1057,Hyundai,Tucson,2024.0,Benzine,Automatic,Hatchback,1600.0,1
1087,Hyundai,Verna,2013.0,Natural Gas,Manual,Sedan,1600.0,1
1089,Hyundai,Verna,2014.0,Benzine,Manual,Sedan,1600.0,1
1036,Hyundai,Santa Fe,2024.0,Hybrid,Automatic,SUV,1600.0,1
1093,Hyundai,Verna,2015.0,Natural Gas,Manual,Sedan,1600.0,1
1112,Jaguar,E-Pace,2019.0,Benzine,Automatic,SUV,2000.0,1
1113,Jaguar,E-Pace,2020.0,Benzine,Automatic,SUV,2000.0,1
1114,Jaguar,F-Pace,2021.0,Benzine,Automatic,SUV,2000.0,1
1115,Jaguar,F-Pace,2022.0,Benzine,Automatic,SUV,2000.0,1
1116,Jaguar,F-Pace,2024.0,Benzine,Automatic,SUV,2000.0,1
1117,Jaguar,F-Pace,2025.0,Benzine,Automatic,SUV,2000.0,1
1118,Jaguar,F-type,2018.0,Benzine,Automatic,Sports / Coupe,3000.0,1
1119,Jaguar,F-type,2020.0,Benzine,Automatic,Convertible,2000.0,1
1120,Jaguar,F-type,2023.0,Benzine,Automatic,Sports / Coupe,2000.0,1
1121,Jaguar,XE,2020.0,Benzine,Automatic,Sedan,2000.0,1
1122,Jeep,Cherokee,1995.0,Benzine,Automatic,4X4,6000.0,1
1123,Jeep,Cherokee,1995.0,Benzine,Manual,4X4,2400.0,1
1124,Jeep,Cherokee,1996.0,Benzine,Automatic,SUV,4000.0,1
1126,Jeep,Cherokee,1998.0,Benzine,Automatic,4X4,4100.0,1
1127,Jeep,Cherokee,1999.0,Benzine,Automatic,4X4,4100.0,1
1111,Jac,S4,2021.0,Benzine,Automatic,Hatchback,1500.0,1
1110,Jac,S4,2020.0,Benzine,Automatic,SUV,1500.0,1
1109,Jac,Other,2010.0,Benzine,Manual,Sedan,1300.0,1
1100,Hyundai,Verna,2019.0,Benzine,Automatic,Sedan,1600.0,1
1094,Hyundai,Verna,2016.0,Benzine,Manual,Sedan,1600.0,1
1095,Hyundai,Verna,2016.0,Natural Gas,Manual,Sedan,1600.0,1
1096,Hyundai,Verna,2017.0,Benzine,Automatic,Sedan,1600.0,1
1097,Hyundai,Verna,2017.0,Benzine,Manual,Sedan,1600.0,1
1098,Hyundai,Verna,2017.0,Hybrid,Manual,Sedan,1600.0,1
1099,Hyundai,Verna,2018.0,Benzine,Manual,Sedan,1500.0,1
1101,Hyundai,Viva,2002.0,Benzine,Manual,Sedan,1500.0,1
1108,Jac,Other,2008.0,Diesel,Manual,Pickup,2000.0,1
1102,Hyundai,Viva,2008.0,Benzine,Manual,Sedan,1500.0,1
1103,Infiniti,FX,2006.0,Benzine,Automatic,SUV,3500.0,1
1104,Isuzu,D-Max,2010.0,Diesel,Manual,Pickup,1200.0,1
1105,Isuzu,D-Max,2026.0,Diesel,Manual,Pickup,2500.0,1
1106,Jac,A13,2013.0,Benzine,Manual,Hatchback,1300.0,1
1107,Jac,J7,2021.0,Benzine,Automatic,Sedan,1500.0,1
1038,Hyundai,Santa Fe,2025.0,Hybrid,Automatic,SUV,1600.0,1
1035,Hyundai,Matrix,2011.0,Benzine,Automatic,Hatchback,1600.0,1
934,Hyundai,Accent,2006.0,Benzine,Automatic,Sedan,1400.0,1
981,Hyundai,Elantra,2025.0,Benzine,Automatic,Sedan,1500.0,1
959,Hyundai,Coupe,2000.0,Benzine,Automatic,Sports / Coupe,2000.0,1
960,Hyundai,Coupe,2005.0,Benzine,Manual,Sports / Coupe,1600.0,1
961,Hyundai,Coupe,2013.0,Benzine,Automatic,Sedan,1600.0,1
962,Hyundai,Creta,2020.0,Benzine,Automatic,SUV,1600.0,1
963,Hyundai,Creta,2023.0,Benzine,Automatic,4X4,1500.0,1
964,Hyundai,Elantra,2001.0,Benzine,Automatic,Sedan,1500.0,1
965,Hyundai,Elantra,2007.0,Benzine,Automatic,Sedan,1600.0,1
966,Hyundai,Elantra,2008.0,Benzine,Automatic,Sedan,1600.0,1
967,Hyundai,Elantra,2009.0,Benzine,Automatic,Sedan,1600.0,1
968,Hyundai,Elantra,2009.0,Benzine,Manual,Sedan,1600.0,1
969,Hyundai,Elantra,2011.0,Benzine,Automatic,Sedan,1600.0,1
971,Hyundai,Elantra,2013.0,Benzine,Automatic,Sedan,1600.0,1
973,Hyundai,Elantra,2016.0,Benzine,Automatic,Sedan,1600.0,1
976,Hyundai,Elantra,2019.0,Electric,Automatic,Sedan,1600.0,1
979,Hyundai,Elantra,2022.0,Benzine,Automatic,Sedan,1600.0,1
958,Hyundai,Azera,2023.0,Hybrid,Automatic,Sedan,1600.0,1
957,Hyundai,Avante,2023.0,Benzine,Automatic,Sedan,1600.0,1
956,Hyundai,Avante,2011.0,Benzine,Automatic,Sedan,1600.0,1
944,Hyundai,Accent,2016.0,Benzine,Automatic,Hatchback,1600.0,1
936,Hyundai,Accent,2006.0,Benzine,Manual,Sedan,1600.0,1
937,Hyundai,Accent,2006.0,Natural Gas,Manual,Sedan,1300.0,1
938,Hyundai,Accent,2009.0,Benzine,Automatic,Sedan,1600.0,1
939,Hyundai,Accent,2009.0,Benzine,Manual,Sedan,1500.0,1
942,Hyundai,Accent,2011.0,Benzine,Automatic,Sedan,1600.0,1
943,Hyundai,Accent,2011.0,Benzine,Manual,Sedan,1600.0,1
945,Hyundai,Accent,2017.0,Benzine,Automatic,Sedan,1600.0,1
955,Hyundai,Avante,2010.0,Benzine,Automatic,Sedan,1600.0,1
946,Hyundai,Accent,2019.0,Benzine,Automatic,Sedan,1600.0,1
947,Hyundai,Accent,2024.0,Diesel,Automatic,Sedan,1600.0,1
949,Hyundai,Accent,2026.0,Benzine,Automatic,Sedan,1500.0,1
952,Hyundai,Atos,2009.0,Benzine,Manual,Hatchback,1100.0,1
953,Hyundai,Atos,2010.0,Benzine,Manual,Hatchback,1000.0,1
954,Hyundai,Atos,2010.0,Benzine,Manual,Hatchback,1100.0,1
980,Hyundai,Elantra,2024.0,Benzine,Automatic,Sedan,1600.0,1
984,Hyundai,Elantra Coupe,2013.0,Benzine,Automatic,Sedan,1600.0,1
1034,Hyundai,Matrix,2009.0,Benzine,Automatic,Hatchback,1600.0,1
985,Hyundai,Excel,1994.0,Benzine,Manual,Sedan,1500.0,1
1013,Hyundai,I30,2015.0,Benzine,Automatic,Hatchback,1600.0,1
1015,Hyundai,IX35,2013.0,Benzine,Automatic,Hatchback,1600.0,1
1016,Hyundai,IX35,2013.0,Benzine,Automatic,SUV,1600.0,1
1017,Hyundai,IX35,2014.0,Benzine,Automatic,Hatchback,1600.0,1
1018,Hyundai,IX35,2015.0,Benzine,Automatic,Estate,1600.0,1
1021,Hyundai,IX35,2016.0,Benzine,Automatic,Hatchback,600.0,1
1022,Hyundai,Matrix,2001.0,Benzine,Automatic,Hatchback,1600.0,1
1023,Hyundai,Matrix,2001.0,Diesel,Automatic,Hatchback,1600.0,1
1025,Hyundai,Matrix,2005.0,Benzine,Automatic,Hatchback,1600.0,1
1026,Hyundai,Matrix,2005.0,Benzine,Manual,Hatchback,1600.0,1
1028,Hyundai,Matrix,2006.0,Benzine,Automatic,Sedan,1600.0,1
1030,Hyundai,Matrix,2006.0,Natural Gas,Automatic,SUV,1600.0,1
1031,Hyundai,Matrix,2007.0,Benzine,Automatic,Hatchback,1600.0,1
1032,Hyundai,Matrix,2008.0,Benzine,Automatic,Hatchback,1600.0,1
1033,Hyundai,Matrix,2008.0,Benzine,Automatic,Sedan,1600.0,1
1012,Hyundai,I20,2022.0,Benzine,Automatic,Hatchback,1200.0,1
1011,Hyundai,I10,2016.0,Benzine,Automatic,Sedan,1250.0,1
1008,Hyundai,I10,2012.0,Benzine,Automatic,Hatchback,1100.0,1
997,Hyundai,Excel,1998.0,Benzine,Manual,Sedan,1500.0,1
987,Hyundai,Excel,1996.0,Benzine,Manual,Hatchback,1300.0,1
989,Hyundai,Excel,1997.0,Benzine,Automatic,Sedan,1500.0,1
991,Hyundai,Excel,1997.0,Benzine,Manual,Other,1500.0,1
994,Hyundai,Excel,1997.0,Natural Gas,Manual,Sedan,1500.0,1
995,Hyundai,Excel,1998.0,Benzine,Automatic,Sedan,1500.0,1
996,Hyundai,Excel,1998.0,Benzine,Manual,Sedan,1300.0,1
998,Hyundai,Excel,1999.0,Benzine,Manual,Sedan,1500.0,1
1007,Hyundai,I10,2010.0,Diesel,Manual,Hatchback,1000.0,1
999,Hyundai,Getz,2006.0,Benzine,Automatic,Hatchback,1600.0,1
1001,Hyundai,Getz,2007.0,Diesel,Automatic,Hatchback,1600.0,1
1002,Hyundai,Getz,2009.0,Benzine,Automatic,Hatchback,1600.0,1
1003,Hyundai,Getz,2010.0,Benzine,Automatic,Hatchback,1600.0,1
1004,Hyundai,H1,2007.0,Diesel,Manual,Van / Bus,2400.0,1
1006,Hyundai,I10,2010.0,Benzine,Manual,Hatchback,1300.0,1
2687,Zotye,Explosion,2009.0,Natural Gas,Manual,Hatchback,1600.0,1
