vehicle_id,brand,model,year,fuel_type,transmission,body_type,engine_capacity,scraped_at
Speranza_A11_2006_Hybrid_Manual_Sedan_1600.0,Speranza,A11,2006,Hybrid,Manual,Sedan,1600.0,2026-01-29 23:09:17
Suzuki_Alto_2007_Benzine_Manual_Hatchback_800.0,Suzuki,Alto,2007,Benzine,Manual,Hatchback,800.0,2026-01-29 23:09:53
BMW_330_2017_Benzine_Automatic_Sedan_2000.0,BMW,330,2017,Benzine,Automatic,Sedan,2000.0,2026-01-29 23:10:14
Mercedes-Benz_S500_2007_Benzine_Automatic_Sedan_5500.0,Mercedes-Benz,S500,2007,Benzine,Automatic,Sedan,5500.0,2026-01-29 23:11:10
Fiat_Shahin_2005_Benzine_Manual_Sedan_1600.0,Fiat,Shahin,2005,Benzine,Manual,Sedan,1600.0,2026-01-29 23:11:30
BYD_Song Plus_2025_Electric_Automatic_Hatchback_nan,BYD,Song Plus,2025,Electric,Automatic,Hatchback,,2026-01-29 23:11:39
Chevrolet_Aveo_2010_Benzine_Manual_Sedan_1600.0,Chevrolet,Aveo,2010,Benzine,Manual,Sedan,1600.0,2026-01-29 23:11:46
Speranza_M12_2014_Benzine_Manual_Hatchback_1600.0,Speranza,M12,2014,Benzine,Manual,Hatchback,1600.0,2026-01-29 23:12:33
Opel_Vectra_1995_Benzine_Manual_Sedan_1600.0,Opel,Vectra,1995,Benzine,Manual,Sedan,1600.0,2026-01-29 23:12:41
Fiat_128_1980_Benzine_Manual_Sedan_1300.0,Fiat,128,1980,Benzine,Manual,Sedan,1300.0,2026-01-29 23:12:59
Mercedes-Benz_C300_1989_Benzine_Automatic_Sedan_2969.0,Mercedes-Benz,C300,1989,Benzine,Automatic,Sedan,2969.0,2026-01-29 23:13:07
Mercedes-Benz_CLA 180_2021_Benzine_Automatic_Sedan_nan,Mercedes-Benz,CLA 180,2021,Benzine,Automatic,Sedan,,2026-01-29 23:13:33
MG_ZS_2024_Benzine_Automatic_Estate_1500.0,MG,ZS,2024,Benzine,Automatic,Estate,1500.0,2026-01-29 23:13:55
Seat_Ateca_2021_Benzine_Automatic_Estate_1400.0,Seat,Ateca,2021,Benzine,Automatic,Estate,1400.0,2026-01-29 23:14:30
Lada_Granta_2020_Benzine_Manual_Sedan_1600.0,Lada,Granta,2020,Benzine,Manual,Sedan,1600.0,2026-01-29 23:14:38
Chevrolet_Aveo_2009_Benzine_Manual_Sedan_1600.0,Chevrolet,Aveo,2009,Benzine,Manual,Sedan,1600.0,2026-01-29 23:14:48
Zotye_Explosion_2008_Benzine_Manual_SUV_1300.0,Zotye,Explosion,2008,Benzine,Manual,SUV,1300.0,2026-01-29 23:16:28
Mercedes-Benz_200_1994_Benzine_Automatic_Sedan_2000.0,Mercedes-Benz,200,1994,Benzine,Automatic,Sedan,2000.0,2026-01-29 23:16:37
Honda_CR-V_2024_Benzine_Automatic_SUV_1500.0,Honda,CR-V,2024,Benzine,Automatic,SUV,1500.0,2026-01-29 23:16:45
Suzuki_Van_2008_Benzine_Manual_Van / Bus_1000.0,Suzuki,Van,2008,Benzine,Manual,Van / Bus,1000.0,2026-01-29 23:16:53
Fiat_Punto_2009_Benzine_Manual_Hatchback_1400.0,Fiat,Punto,2009,Benzine,Manual,Hatchback,1400.0,2026-01-29 23:17:02
BMW_M3_2023_Benzine_Automatic_Sedan_3000.0,BMW,M3,2023,Benzine,Automatic,Sedan,3000.0,2026-01-29 23:17:13
Chevrolet_Optra_2006_Benzine_Manual_Sedan_1500.0,Chevrolet,Optra,2006,Benzine,Manual,Sedan,1500.0,2026-01-29 23:17:23
Hyundai_Getz_2008_Benzine_Automatic_Hatchback_nan,Hyundai,Getz,2008,Benzine,Automatic,Hatchback,,2026-01-29 23:17:49
Renault_Duster_2019_Benzine_Automatic_Van / Bus_nan,Renault,Duster,2019,Benzine,Automatic,Van / Bus,,2026-01-29 23:18:08
Volkswagen_Golf_1992_Benzine_Manual_Hatchback_1600.0,Volkswagen,Golf,1992,Benzine,Manual,Hatchback,1600.0,2026-01-29 23:18:18
BMW_X3_2017_Benzine_Automatic_SUV_3000.0,BMW,X3,2017,Benzine,Automatic,SUV,3000.0,2026-01-29 23:18:58
Fiat_128_1979_Benzine_Manual_Sedan_1200.0,Fiat,128,1979,Benzine,Manual,Sedan,1200.0,2026-01-29 23:19:06
Opel_Astra_2026_Benzine_Automatic_Sedan_1600.0,Opel,Astra,2026,Benzine,Automatic,Sedan,1600.0,2026-01-29 23:19:33
Renault_Megane_2019_Benzine_Automatic_Sedan_1600.0,Renault,Megane,2019,Benzine,Automatic,Sedan,1600.0,2026-01-29 23:20:40
Mercedes-Benz_GLC 300_2023_Benzine_Automatic_Sports / Coupe_2000.0,Mercedes-Benz,GLC 300,2023,Benzine,Automatic,Sports / Coupe,2000.0,2026-01-29 23:21:11
Chevrolet_Lanos_2007_Benzine_Manual_Sedan_nan,Chevrolet,Lanos,2007,Benzine,Manual,Sedan,,2026-01-29 23:21:27
Mercedes-Benz_E250_2011_Benzine_Automatic_Sedan_1800.0,Mercedes-Benz,E250,2011,Benzine,Automatic,Sedan,1800.0,2026-01-29 23:22:02
Porsche_911_2020_Benzine_Automatic_Sports / Coupe_nan,Porsche,911,2020,Benzine,Automatic,Sports / Coupe,,2026-01-29 23:22:37
BMW_Z4_2022_Benzine_Automatic_Convertible_2000.0,BMW,Z4,2022,Benzine,Automatic,Convertible,2000.0,2026-01-29 23:23:14
Mitsubishi_Pajero_2020_Benzine_Automatic_SUV_3800.0,Mitsubishi,Pajero,2020,Benzine,Automatic,SUV,3800.0,2026-01-29 23:23:56
Mercedes-Benz_200_1968_Diesel_Manual_Sedan_2000.0,Mercedes-Benz,200,1968,Diesel,Manual,Sedan,2000.0,2026-01-29 23:24:03
Opel_Astra_2004_Benzine_Automatic_Sedan_nan,Opel,Astra,2004,Benzine,Automatic,Sedan,,2026-01-29 23:24:22
Seat_Leon_2011_Benzine_Automatic_Hatchback_2000.0,Seat,Leon,2011,Benzine,Automatic,Hatchback,2000.0,2026-01-29 23:24:37
Land Rover_Range Rover Evoque_2023_Benzine_Automatic_SUV_2000.0,Land Rover,Range Rover Evoque,2023,Benzine,Automatic,SUV,2000.0,2026-01-29 23:25:10
BMW_X5_2020_Benzine_Automatic_SUV_3000.0,BMW,X5,2020,Benzine,Automatic,SUV,3000.0,2026-01-29 23:25:30
Kia_Sportage_2022_Benzine_Automatic_Hatchback_1600.0,Kia,Sportage,2022,Benzine,Automatic,Hatchback,1600.0,2026-01-29 23:25:50
Mercedes-Benz_E200_2013_Benzine_Automatic_Sedan_2000.0,Mercedes-Benz,E200,2013,Benzine,Automatic,Sedan,2000.0,2026-01-29 23:26:22
Lada_Granta_2023_Benzine_Automatic_Sedan_nan,Lada,Granta,2023,Benzine,Automatic,Sedan,,2026-01-29 23:26:49
Jac_S2_2026_Benzine_Automatic_Hatchback_nan,Jac,S2,2026,Benzine,Automatic,Hatchback,,2026-01-29 23:27:13
Fiat_127_1976_Benzine_Manual_Sports / Coupe_950.0,Fiat,127,1976,Benzine,Manual,Sports / Coupe,950.0,2026-01-29 23:27:20
Renault_Duster_2018_Benzine_Automatic_Estate_1600.0,Renault,Duster,2018,Benzine,Automatic,Estate,1600.0,2026-01-29 23:27:51
Suzuki_Maruti_2010_Benzine_Manual_Hatchback_900.0,Suzuki,Maruti,2010,Benzine,Manual,Hatchback,900.0,2026-01-29 23:27:59
Speranza_A113_2008_Benzine_Manual_Hatchback_800.0,Speranza,A113,2008,Benzine,Manual,Hatchback,800.0,2026-01-29 23:28:16
Porsche_Cayenne_2024_Benzine_Automatic_SUV_4000.0,Porsche,Cayenne,2024,Benzine,Automatic,SUV,4000.0,2026-01-29 23:28:40
Fiat_Dogan_1991_Benzine_Manual_Sedan_1600.0,Fiat,Dogan,1991,Benzine,Manual,Sedan,1600.0,2026-01-29 23:28:58
Hyundai_Matrix_2005_Benzine_Manual_Sedan_nan,Hyundai,Matrix,2005,Benzine,Manual,Sedan,,2026-01-29 23:29:26
Geely_Emgrand 7_2017_Benzine_Manual_Sedan_1500.0,Geely,Emgrand 7,2017,Benzine,Manual,Sedan,1500.0,2026-01-29 23:29:46
MINI_Cooper_2011_Benzine_Automatic_Hatchback_nan,MINI,Cooper,2011,Benzine,Automatic,Hatchback,,2026-01-29 23:29:59
